Gene ID	description
Bathy01g06610	photosystem II 11 kD protein
Bathy01g06620	predicted protein
Bathy01g06630	PREDICTED: similar to predicted protein
Bathy01g06640	predicted protein
Bathy01g06650	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
Bathy01g06660	hypothetical protein NAEGRDRAFT_79867
Bathy01g06670	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy01g06680	predicted protein
Bathy01g06690	unknown protein
Bathy01g06700	predicted protein
Bathy01g06710	tetratricopeptide repeat-containing protein
Bathy01g06720	predicted protein
Bathy01g06730	predicted protein
Bathy01g06740	predicted protein
Bathy01g06750	oxidoreductase
Bathy01g06760	putative prolyl aminopeptidase
Bathy01g06770	predicted protein
Bathy01g06780	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy01g06790	trafficking protein particle complex subunit 3
Bathy01g06800	diguanylate cyclase
Bathy01g06810	predicted protein
Bathy01g06820	predicted protein
Bathy01g06830	predicted protein
Bathy01g06840	unknown protein
Bathy01g06850	unknown protein
Bathy01g06860	conserved hypothetical protein
Bathy01g06870	predicted protein
Bathy01g06880	predicted protein
Bathy01g06890	hypothetical protein
Bathy01g06900	predicted protein
Bathy01g06910	predicted protein
Bathy01g06920	predicted protein
Bathy01g06930	predicted protein
Bathy01g06940	predicted protein
Bathy01g06950	preprotein translocase subunit SecY
Bathy01g06960	predicted protein
Bathy01g06970	unnamed protein product
Bathy01g06980	predicted protein
Bathy01g06990	predicted protein
Bathy01g07000	phosphoribulokinase/uridine kinase family protein
Bathy01g07010	N-acetylglutamate synthase
Bathy01g07020	unknown protein
Bathy01g07030	predicted protein
Bathy01g07040	mCG118030, isoform CRA_a
Bathy01g07050	predicted protein
Bathy01g07060	unknown protein
Bathy01g07070	predicted protein
Bathy01g07080	unknown protein
Bathy01g07090	predicted protein
Bathy01g07100	dimethyladenosine transferase
Bathy01g07110	chorismate mutase
Bathy01g07120	predicted protein
Bathy01g07130	mitochondrial carrier protein
Bathy01g07140	predicted protein
Bathy01g07150	predicted protein
Bathy01g07160	predicted protein
Bathy01g07170	ATP-dependent metalloprotease FtsH
Bathy01g07180	predicted protein
Bathy01g07190	predicted protein
Bathy01g07200	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
Bathy01g07210	U6 snRNA-associated Sm-like protein LSm7
Bathy01g07220	L-allo-threonine aldolase
Bathy01g07230	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
Bathy01g07240	PREDICTED: similar to fibropellin Ia
Bathy01g07250	unknown protein
Bathy01g07260	protease
Bathy01g07270	1-aminocyclopropane-1-carboxylate synthase
Bathy01g07280	Na+/H+ antiporter
Bathy01g07290	Sua5/YciO/YrdC/YwlC family protein
Bathy01g07300	RNA pseudouridine synthase
Bathy01g07310	predicted protein
Bathy01g07320	unknown protein
Bathy01g07330	unnamed protein product
Bathy01g07340	predicted protein
Bathy01g07350	predicted protein
Bathy01g07360	ATP-dependent DNA helicase RecQ, putative (ISS)
Bathy01g07370	mRNA-decapping enzyme 2
Bathy01g07380	unknown protein
Bathy01g07390	predicted protein
Bathy01g07400	unknown protein
Bathy02g00010	ribokinase
Bathy02g00020	beta-ketoacyl-acyl-carrier-protein synthase II
Bathy02g00030	AMP deaminase
Bathy02g00040	mitochondrial carrier family
Bathy02g00050	stationary phase survival protein SurE
Bathy02g00060	beta-amylase
Bathy02g00070	predicted protein
Bathy02g00080	unknown protein
Bathy02g00090	glycyl-tRNA synthetase subunit alpha
Bathy02g00100	predicted protein
Bathy02g00110	unknown protein
Bathy02g00120	50S ribosomal protein L3
Bathy02g00130	hypothetical protein MICPUN_62681
Bathy02g00140	predicted protein
Bathy02g00150	unknown protein
Bathy02g00160	GTP pyrophosphokinase
Bathy02g00170	unnamed protein product
Bathy02g00180	predicted protein
Bathy02g00190	unknown protein
Bathy02g00200	50S ribosomal protein L9
Bathy02g00210	predicted protein
Bathy02g00220	unknown protein
Bathy02g00230	30S ribosomal protein S1
Bathy02g00240	predicted protein
Bathy02g00250	predicted protein
Bathy02g00260	predicted protein
Bathy02g00270	mannose-6-phosphate isomerase
Bathy02g00280	PREDICTED: similar to predicted protein
Bathy02g00290	predicted protein
Bathy02g00300	unknown protein
Bathy02g00310	cytochrome c peroxidase
Bathy02g00320	predicted protein
Bathy02g00330	type 2 lactosamine alpha-2,3-sialyltransferase
Bathy02g00340	predicted protein
Bathy02g00350	unnamed protein product
Bathy02g00360	predicted protein
Bathy02g00365	unknown protein
Bathy02g00370	predicted protein
Bathy02g00380	ATP-binding cassette sub-family F member 1
Bathy02g00390	unknown protein
Bathy02g00400	unknown protein
Bathy02g00410	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy02g00420	predicted protein
Bathy02g00430	predicted protein
Bathy02g00440	copper amine oxidase N-terminal domain protein
Bathy02g00450	set domain protein
Bathy02g00460	predicted protein
Bathy02g00470	predicted protein
Bathy02g00480	predicted protein
Bathy02g00490	30S ribosomal protein S17
Bathy02g00500	unknown
Bathy02g00510	predicted protein
Bathy02g00520	unknown protein
Bathy02g00530	unknown protein
Bathy02g00540	predicted protein
Bathy02g00550	predicted protein
Bathy02g00560	predicted protein
Bathy02g00570	integral membrane protein TerC
Bathy02g00580	unknown protein
Bathy02g00590	unknown protein
Bathy02g00600	predicted protein
Bathy02g00610	unknown protein
Bathy02g00620	ankyrin repeat protein
Bathy02g00630	predicted protein
Bathy02g00640	PREDICTED: similar to predicted protein
Bathy02g00650	conserved hypothetical protein
Bathy02g00660	beta-galactoside alpha-2,6-sialyltransferase 2
Bathy02g00670	predicted protein
Bathy02g00680	unknown protein
Bathy02g00690	predicted protein
Bathy02g00700	predicted protein
Bathy02g00710	predicted protein
Bathy02g00720	PREDICTED: similar to predicted protein
Bathy02g00730	SET and MYND domain-containing protein 5
Bathy02g00740	predicted protein
Bathy02g00750	50S ribosomal protein L6
Bathy02g00760	predicted protein
Bathy02g00770	predicted protein
Bathy02g00780	predicted protein
Bathy02g00790	inositol monophosphatase
Bathy02g00800	predicted protein
Bathy02g00810	hypothetical protein
Bathy02g00820	predicted protein
Bathy02g00830	Qb-SNARE, Sec20 family
Bathy02g00840	predicted protein
Bathy02g00850	protein transport protein SEC61 alpha subunit
Bathy02g00860	NADH-ubiquinone oxidoreductase 105 kDa subunit
Bathy02g00870	MED21 (MEDIATOR 21)
Bathy02g00880	Subunit of Golgi mannosyltransferase complex (ISS)
Bathy02g00890	predicted protein
Bathy02g00900	predicted protein
Bathy02g00910	predicted protein
Bathy02g00920	pseudouridine synthase, RluA family
Bathy02g00930	predicted protein
Bathy02g00940	glutaredoxin-like protein
Bathy02g00950	PREDICTED: similar to predicted protein
Bathy02g00960	unknown protein
Bathy02g00970	unnamed protein product
Bathy02g00980	predicted protein
Bathy02g00990	3-oxoacyl-(acyl carrier protein) synthase III
Bathy02g01000	predicted protein
Bathy02g01010	deoxycytidine kinase
Bathy02g01020	EGL-43
Bathy02g01030	predicted protein
Bathy02g01040	predicted protein
Bathy02g01050	NmrA family protein
Bathy02g01060	predicted protein
Bathy02g01070	predicted protein
Bathy02g01080	predicted protein
Bathy02g01090	predicted protein
Bathy02g01100	predicted protein
Bathy02g01110	predicted protein
Bathy02g01120	predicted protein
Bathy02g01130	predicted protein
Bathy02g01140	predicted protein
Bathy02g01150	predicted protein
Bathy02g01160	predicted protein
Bathy02g01170	predicted protein
Bathy02g01180	predicted protein
Bathy02g01190	predicted protein
Bathy02g01200	unknown protein
Bathy02g01210	predicted protein
Bathy02g01220	predicted protein
Bathy02g01230	mitochondrial carrier family
Bathy02g01240	predicted protein
Bathy02g01250	predicted protein
Bathy02g01260	predicted protein
Bathy02g01270	multicopper oxidase type 2
Bathy02g01280	predicted protein
Bathy02g01290	unnamed protein product
Bathy02g01300	predicted protein
Bathy02g01310	unknown protein
Bathy02g01320	predicted protein
Bathy02g01330	aldo/keto reductase
Bathy02g01340	unknown protein
Bathy02g01350	predicted protein
Bathy02g01360	unknown protein
Bathy02g01370	unknown protein
Bathy02g01380	predicted protein
Bathy02g01390	predicted protein
Bathy02g01400	predicted protein
Bathy02g01410	unknown protein
Bathy02g01420	cadmium-translocating P-type ATPase
Bathy02g01430	unknown protein
Bathy02g01440	predicted protein
Bathy02g01450	predicted protein
Bathy02g01460	FAD dependent oxidoreductase
Bathy02g01470	predicted protein
Bathy02g01480	predicted protein
Bathy02g01490	nitrate transporter
Bathy02g01500	predicted protein
Bathy02g01510	nitrite reductase
Bathy02g01520	formate/nitrite transporter
Bathy02g01530	nitrate reductase
Bathy02g01540	nitrate reductase
Bathy02g01550	predicted protein
Bathy02g01560	predicted protein
Bathy02g01570	predicted protein
Bathy02g01580	ADP-ribosylation factor-like protein 8B
Bathy02g01590	predicted protein
Bathy02g01600	predicted protein
Bathy02g01610	predicted protein
Bathy02g01620	predicted protein
Bathy02g01630	hypothetical protein MICPUN_56735
Bathy02g01640	unknown protein
Bathy02g01650	xanthine/uracil/vitamin C permease
Bathy02g01660	unknown protein
Bathy02g01670	cytosine deaminase
Bathy02g01680	amidohydrolase
Bathy02g01690	major facilitator superfamily
Bathy02g01700	isochorismatase hydrolase
Bathy02g01710	2OG-Fe(II) oxygenase
Bathy02g01720	isochorismatase family protein
Bathy02g01730	unknown protein
Bathy02g01740	predicted protein
Bathy02g01750	predicted protein
Bathy02g01760	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
Bathy02g01770	S-formylglutathione hydrolase
Bathy02g01780	major facilitator superfamily
Bathy02g01790	predicted protein
Bathy02g01800	manganese transport protein MntH
Bathy02g01810	predicted protein
Bathy02g01820	predicted protein
Bathy02g01830	predicted protein
Bathy02g01840	predicted protein
Bathy02g01850	large subunit ribosomal protein 27a
Bathy02g01860	predicted protein
Bathy02g01870	predicted protein
Bathy02g01880	predicted protein
Bathy02g01890	unknown protein
Bathy02g01900	predicted protein
Bathy02g01910	SqdX
Bathy02g01920	predicted protein
Bathy02g01930	predicted protein
Bathy02g01940	predicted protein
Bathy02g01950	unknown protein
Bathy02g01960	predicted protein
Bathy02g01970	unknown protein
Bathy02g01980	hypothetical protein TERG_00084
Bathy02g01990	predicted protein
Bathy02g02000	unknown protein
Bathy02g02010	carboxylesterase
Bathy02g02020	major facilitator superfamily
Bathy02g02030	unknown protein
Bathy02g02040	unknown protein
Bathy02g02050	zinc/iron permease
Bathy02g02060	predicted protein
Bathy02g02070	predicted protein
Bathy02g02080	predicted protein
Bathy02g02090	unknown
Bathy02g02100	unknown protein
Bathy02g02110	hypothetical protein MICPUCDRAFT_46927
Bathy02g02120	predicted protein
Bathy02g02130	copper-transporting ATPase 1
Bathy02g02140	At4g00030-like protein
Bathy02g02150	conserved hypothetical protein
Bathy02g02160	WD repeat-containing protein 48
Bathy02g02170	predicted protein
Bathy02g02180	30S ribosomal protein S5
Bathy02g02190	predicted protein
Bathy02g02200	predicted protein
Bathy02g02210	predicted protein
Bathy02g02220	NAD kinase
Bathy02g02230	predicted protein
Bathy02g02240	magnesium transporter
Bathy02g02250	predicted protein
Bathy02g02260	unknown protein
Bathy02g02270	predicted protein
Bathy02g02280	predicted protein
Bathy02g02290	O-acetylhomoserine/O-acetylserine sulfhydrylase
Bathy02g02300	predicted protein
Bathy02g02310	predicted protein
Bathy02g02320	PREDICTED: similar to formin binding protein 11-related protein
Bathy02g02330	predicted protein
Bathy02g02340	unknown protein
Bathy02g02350	diphthamide biosynthesis protein 1
Bathy02g02360	predicted protein
Bathy02g02370	predicted protein
Bathy02g02380	nucleolar protein 10
Bathy02g02390	predicted protein
Bathy02g02400	unknown protein
Bathy02g02410	predicted protein
Bathy02g02420	unknown protein
Bathy02g02430	predicted protein
Bathy02g02440	predicted protein
Bathy02g02450	unknown protein
Bathy02g02460	hypothetical protein
Bathy02g02470	succinate dehydrogenase iron-sulfur subunit
Bathy02g02480	unknown protein
Bathy02g02490	elongation factor 3
Bathy02g02500	unknown protein
Bathy02g02510	prolyl-tRNA synthetase
Bathy02g02520	ADP/ATP translocase
Bathy02g02530	predicted protein
Bathy02g02540	acyl-CoA dehydrogenase
Bathy02g02550	predicted protein
Bathy02g02560	predicted protein
Bathy02g02570	predicted protein
Bathy02g02580	unnamed protein product
Bathy02g02590	predicted protein
Bathy02g02600	unknown protein
Bathy02g02610	unknown protein
Bathy02g02620	GPI-anchor transamidase
Bathy02g02630	unknown protein
Bathy02g02640	predicted protein
Bathy02g02650	hypothetical protein CHLREDRAFT_142942
Bathy02g02660	predicted protein
Bathy02g02670	unnamed protein product
Bathy02g02680	NADH-ubiquinone oxidoreductase 51 kDa subunit
Bathy02g02690	conserved hypothetical protein
Bathy02g02700	unknown protein
Bathy02g02710	predicted protein
Bathy02g02720	calreticulin
Bathy02g02730	exosome complex exonuclease RRP44
Bathy02g02740	predicted protein
Bathy02g02750	unnamed protein product
Bathy02g02760	unknown protein
Bathy02g02770	predicted protein
Bathy02g02780	RING finger protein 32
Bathy02g02790	beta-galactoside alpha-2,6-sialyltransferase 1
Bathy02g02800	histone acetyltransferase
Bathy02g02810	predicted protein
Bathy02g02820	predicted protein
Bathy02g02830	KpsF/GutQ family protein
Bathy02g02840	GTP-binding protein TypA
Bathy02g02850	predicted protein
Bathy02g02860	glutathione-independent formaldehyde dehydrogenase
Bathy02g02870	predicted protein
Bathy02g02880	predicted protein
Bathy02g02890	unknown protein
Bathy02g02900	predicted protein
Bathy02g02910	predicted protein
Bathy02g02920	PREDICTED: similar to predicted protein
Bathy02g02930	unknown protein
Bathy02g02940	predicted protein
Bathy02g02950	predicted protein
Bathy02g02960	predicted protein
Bathy02g02970	predicted protein
Bathy02g02980	predicted protein
Bathy02g02990	unknown protein
Bathy02g03000	predicted protein
Bathy02g03010	unknown protein
Bathy02g03020	predicted protein
Bathy02g03030	predicted protein
Bathy02g03040	unknown protein
Bathy02g03050	predicted protein
Bathy02g03060	predicted protein
Bathy02g03070	Mg-protoporphyrin IX methyl transferase
Bathy02g03080	choline/ethanolaminephosphotransferase 1
Bathy02g03090	predicted protein
Bathy02g03100	unknown protein
Bathy02g03110	predicted protein
Bathy02g03120	predicted protein
Bathy02g03130	prasinophyte specific chlorophyll a/b-binding protein, chloroplast precursor
Bathy02g03140	predicted protein
Bathy02g03150	riboflavin biosynthesis protein RibD
Bathy02g03160	predicted protein
Bathy02g03170	predicted protein
Bathy02g03180	unknown protein
Bathy02g03190	predicted protein
Bathy02g03200	iron-sulfur cluster-binding protein, Rieske family
Bathy02g03210	cytochrome b6 (ISS)
Bathy02g03220	predicted protein
Bathy02g03230	hypothetical protein MICPUCDRAFT_57447
Bathy02g03240	predicted protein
Bathy02g03250	predicted protein
Bathy02g03260	PREDICTED: similar to predicted protein
Bathy02g03270	predicted protein
Bathy02g03280	predicted protein
Bathy02g03290	hypothetical protein MICPUN_109493
Bathy02g03300	predicted protein
Bathy02g03310	hypothetical protein
Bathy02g03320	chaperonin GroEL
Bathy02g03330	pseudouridine synthase, RluA family
Bathy02g03340	glucose-6-phosphate 1-dehydrogenase
Bathy02g03350	predicted protein
Bathy02g03360	ATP-gated ion channel subunit P2X4
Bathy02g03370	translation initiation factor, aIF-2BI family
Bathy02g03380	unknown protein
Bathy02g03390	enoyl-CoA hydratase
Bathy02g03400	predicted protein
Bathy02g03410	predicted protein
Bathy02g03420	predicted protein
Bathy02g03430	predicted protein
Bathy02g03440	hypothetical protein
Bathy02g03450	unknown
Bathy02g03460	unknown protein
Bathy02g03470	unknown protein
Bathy02g03480	predicted protein
Bathy02g03490	alpha amylase
Bathy02g03500	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
Bathy02g03510	predicted protein
Bathy02g03520	predicted protein
Bathy02g03530	predicted protein
Bathy02g03540	unknown protein
Bathy02g03550	predicted protein
Bathy02g03560	alanyl-tRNA synthetase
Bathy02g03570	cyclin-dependent kinases regulatory subunit
Bathy02g03580	unknown protein
Bathy02g03590	hypothetical protein
Bathy02g03600	unknown protein
Bathy02g03610	PREDICTED: similar to predicted protein
Bathy02g03620	predicted protein
Bathy02g03630	predicted protein
Bathy02g03640	predicted protein
Bathy02g03650	predicted protein
