"Gene" "Common ID or description"
"459" "ostta01g04540" "unnamed product                 "
"460" "ostta01g04550" "ATPase-like, ParA/MinD                 "
"461" "ostta01g04560" "AMP-dependent synthetase/ligase                 "
"462" "ostta01g04570" "Oxoglutarate/iron-dependent dioxygenase                 "
"463" "ostta01g04580" "Amino acid transporter, transmembrane               "
"464" "ostta01g04585" "hypothetical protein                 "
"465" "ostta01g04590" "unnamed product                 "
"466" "ostta01g04600" "ABC transporter, conserved site               "
"467" "ostta01g04610" "Chromatin assembly factor 1 subunit A             "
"468" "ostta01g04620" "Flavoprotein pyridine nucleotide cytochrome reductase              "
"469" "ostta01g04630" "DNA-binding domain                 "
"470" "ostta01g04640" "unnamed product                 "
"471" "ostta01g04650" "Cellulose-binding domain, fungal                "
"472" "ostta01g04660" "Cation-transporting P-type ATPase, C-terminal               "
"473" "ostta01g04670" "unnamed product                 "
"474" "ostta01g04680" "Tetratricopeptide repeat                 "
"475" "ostta01g04690" "unnamed product                 "
"476" "ostta01g04700" "ENTH/VHS                  "
"477" "ostta01g04710" "JmjC domain                 "
"478" "ostta01g04720" "Exostosin-like                  "
"479" "ostta01g04730" "Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24           "
"480" "ostta01g04740" "Helix-hairpin-helix motif, class 2               "
"481" "ostta01g04750" "unnamed product                 "
"482" "ostta01g04760" "unnamed product                 "
"483" "ostta01g04770" "Zinc finger, LSD1-type                "
"484" "ostta01g04780" "unnamed product                 "
"485" "ostta01g04790" "STAG                  "
"486" "ostta01g04800" "unnamed product                 "
"487" "ostta01g04810" "Protein of unknown function DUF4079              "
"488" "ostta01g04820" "Superoxide dismutase, copper/zinc binding domain              "
"489" "ostta01g04830" "Ubiquinol-cytochrome c chaperone/UPF0174                "
"490" "ostta01g04840" "Nucleotide-binding, alpha-beta plait                "
"491" "ostta01g04850" "RNA polymerase II-associated, Paf1               "
"492" "ostta01g04860" "Monothiol glutaredoxin-related                 "
"493" "ostta01g04870" "Acyl-CoA N-acyltransferase                 "
"494" "ostta01g04880" "Small nuclear RNA activating complex SNAPc, subunit SNAP43           "
"495" "ostta01g04890" "JmjC domain                 "
"496" "ostta01g04900" "Peptidase C1A, papain C-terminal               "
"497" "ostta01g04910" "Alpha-mannosyltransferase                  "
"498" "ostta01g04920" "P-loop containing nucleoside triphosphate hydrolase              "
"499" "ostta01g04930" "CHCH                  "
"500" "ostta01g04940" "Chlorophyll A-B binding protein, plant              "
"501" "ostta01g04950" "26S proteasome subunit P45               "
"502" "ostta01g04960" "unnamed product                 "
"503" "ostta01g04970" "SANT/Myb domain                 "
"504" "ostta01g04980" "Helicase, C-terminal                 "
"505" "ostta01g04990" "unnamed product                 "
"506" "ostta01g05000" "Peptidase S1C                 "
"507" "ostta01g05005" "Proteasome A-type subunit                "
"508" "ostta01g05010" "DNA/RNA non-specific endonuclease, active site              "
"509" "ostta01g05020" "Glutamine synthetase, glycine-rich site               "
"510" "ostta01g05030" "Serine/threonine-protein kinase, active site               "
"511" "ostta01g05040" "Adenylate kinase                 "
"512" "ostta01g05050" "unnamed product                 "
"513" "ostta01g05060" "Mss4-like                  "
"514" "ostta01g05070" "Insulin-like growth factor binding protein, N-terminal             "
"515" "ostta01g05080" "Metridin-like ShK toxin                "
"516" "ostta01g05090" "Diacylglycerol kinase, catalytic domain               "
"517" "ostta01g05100" "unnamed product                 "
"518" "ostta01g05110" "Pentatricopeptide repeat                 "
"519" "ostta01g05120" "Nucleoporin Nup54, alpha-helical domain               "
"520" "ostta01g05130" "unnamed product                 "
"521" "ostta01g05140" "Nucleoporin FG repeat                "
"522" "ostta01g05150" "HCaRG                  "
"523" "ostta01g05155" "Pyruvate/Phosphoenolpyruvate kinase-like domain                "
"524" "ostta01g05160" "Transcription factor, MADS-box                "
"525" "ostta01g05170" "Transcription factor IIS, N-terminal               "
"526" "ostta01g05180" "Pentatricopeptide repeat                 "
"527" "ostta01g05190" "Splicing factor motif                "
"528" "ostta01g05200" "Primosome PriB/single-strand DNA-binding                "
"529" "ostta01g05210" "Tetratricopeptide repeat                 "
"530" "ostta01g05220" "unnamed product                 "
"531" "ostta01g05230" "G-protein beta WD-40 repeat               "
"532" "ostta01g05240" "Phosphatidylinositol 3/4-kinase, conserved site               "
"533" "ostta01g05250" "Peroxisomal membrane protein 14               "
"534" "ostta01g05260" "2-isopropylmalate synthase, bacterial-type                "
"535" "ostta01g05270" "unnamed product                 "
"536" "ostta01g05280" "G-protein beta WD-40 repeat               "
"537" "ostta01g05290" "Glycoside hydrolase-type carbohydrate-binding, subgroup               "
"538" "ostta01g05300" "Phytanoyl-CoA dioxygenase                 "
"539" "ostta01g05310" "unnamed product                 "
"540" "ostta01g05320" "Proteasome B-type subunit                "
"541" "ostta01g05330" "Protein of unknown function DUF1674              "
"542" "ostta01g05340" "P-loop containing nucleoside triphosphate hydrolase              "
"543" "ostta01g05350" "unnamed product                 "
"544" "ostta01g05360" "Ribosomal protein S6                "
"545" "ostta01g05380" "Short-chain dehydrogenase/reductase SDR                "
"546" "ostta01g05390" "BolA protein                 "
"547" "ostta01g05400" "Superoxide dismutase, Nickel-type                "
"548" "ostta01g05410" "Pentatricopeptide repeat                 "
"549" "ostta01g05420" "WD40 repeat                 "
"550" "ostta01g05430" "Arf GTPase activating protein               "
"551" "ostta01g05440" "Armadillo-type fold                 "
"552" "ostta01g05450" "Protein of unknown function DUF284, transmembrane eukaryotic            "
"553" "ostta01g05460" "Transcription factor TFIIE, alpha subunit              "
"554" "ostta01g05470" "WD40/YVTN repeat-like-containing domain                "
"555" "ostta01g05480" "Tim10/DDP family zinc finger               "
"556" "ostta01g05490" "Serine/threonine-protein kinase, active site               "
"557" "ostta01g05500" "unnamed product                 "
"558" "ostta01g05510" "EGF-like, conserved site                "
"559" "ostta01g05520" "Thioredoxin-like fold                 "
"560" "ostta01g05530" "Trx-fold protein n/a  unnamed product             "
"561" "ostta01g05540" "NADH:ubiquinone oxidoreductase, B18 subunit               "
"562" "ostta01g05550" "Cytochrome P450, conserved site               "
"563" "ostta01g05560" "Pyruvate dehydrogenase acetyl-transferring E1 component, alpha subunit, subgroup y          "
"564" "ostta01g05570" "Uncharacterised protein family UPF0016               "
"565" "ostta01g05580" "Protein kinase-like domain                "
"566" "ostta01g05590" "Na+/H+ exchanger, isoforms 07/08/22               "
"567" "ostta01g05600" "Exportin/Importin, Cse1-like                 "
"568" "ostta01g05610" "P-loop containing nucleoside triphosphate hydrolase              "
"569" "ostta01g05620" "Pyridoxal phosphate-dependent transferase, major region, subdomain 1            "
"570" "ostta01g05630" "Helicase, C-terminal                 "
"571" "ostta01g05640" "Tetratricopeptide repeat                 "
"572" "ostta01g05650" "Autophagy-related protein Atg8 family               "
"573" "ostta01g05660" "Nucleotide-binding, alpha-beta plait                "
"574" "ostta01g05670" "Transcription termination and cleavage factor C-terminal domain            "
"575" "ostta01g05680" "Serine/threonine-protein kinase, active site               "
"576" "ostta01g05690" "Magnesium chelatase, ATPase subunit I              "
"577" "ostta01g05700" "Histidinol dehydrogenase                 "
"578" "ostta01g05710" "Domain of unknown function DUF1977, DnaJ-like             "
"579" "ostta01g05720" "unnamed product                 "
"580" "ostta01g05730" "Complex 1 LYR protein               "
"581" "ostta01g05740" "unnamed product                 "
"582" "ostta01g05750" "Mpv17/PMP22                  "
"583" "ostta01g05760" "Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp             "
"584" "ostta01g05770" "Peptidase C1A, papain C-terminal               "
"585" "ostta01g05780" "Conserved oligomeric Golgi complex subunit 8             "
"586" "ostta01g05790" "unnamed product                 "
"587" "ostta01g05800" "Frizzled domain                 "
"588" "ostta01g05810" "Frizzled domain                 "
"589" "ostta01g05820" "Micro-fibrillar-associated protein 1 C-terminal               "
"590" "ostta01g05830" "Carbonic anhydrase                 "
"591" "ostta01g05840" "tRNA/rRNA methyltransferase, SpoU                "
"592" "ostta01g05850" "HAD hydrolase, subfamily IA               "
"593" "ostta01g05860" "unnamed product                 "
"594" "ostta01g05870" "N-terminal acetyltransferase A, auxiliary subunit              "
"595" "ostta01g05880" "Snf7                  "
"596" "ostta01g05890" "Short-chain dehydrogenase/reductase SDR                "
"597" "ostta01g05900" "G-protein beta WD-40 repeat               "
"598" "ostta01g05910" "Short-chain dehydrogenase/reductase SDR                "
"599" "ostta01g05920" "Thymidylate synthase                 "
"600" "ostta01g05930" "Short-chain dehydrogenase/reductase SDR                "
"601" "ostta01g05940" "unnamed product                 "
"602" "ostta01g05950" "NADP-binding domain                 "
"603" "ostta01g05960" "C2 calcium-dependent membrane targeting               "
"604" "ostta01g05970" "Anamorsin                  "
"605" "ostta01g05980" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"606" "ostta01g05990" "Phytoene desaturase CrtI family               "
"607" "ostta01g06000" "Ribosomal protein L17                "
"608" "ostta01g06010" "BRCT domain                 "
"609" "ostta01g06020" "unnamed product                 "
"610" "ostta01g06030" "Cyclin, N-terminal                 "
"611" "ostta01g06040" "Sterol-sensing domain                 "
"612" "ostta01g06050" "SANT/Myb domain                 "
"613" "ostta01g06060" "unnamed product                 "
"614" "ostta01g06070" "C2 calcium/lipid-binding domain, CaLB               "
"615" "ostta01g06080" "P-loop containing nucleoside triphosphate hydrolase              "
"616" "ostta01g06090" "Nicotinamide N-methyltransferase-like                 "
"617" "ostta01g06100" "CidB/LrgB family                 "
"618" "ostta01g06110" "Domain of unknown function DUF221              "
"619" "ostta01g06120" "RNA polymerase, beta subunit, conserved site             "
"620" "ostta01g06130" "Tetratricopeptide repeat                 "
"621" "ostta01g06140" "AMP-dependent synthetase/ligase                 "
"622" "ostta01g06150" "Cyclin A/B/D/E                 "
"623" "ostta01g06160" "Nucleoporin Nup85-like                 "
"624" "ostta01g06170" "Cytochrome b5-like heme/steroid binding domain              "
"625" "ostta01g06180" "unnamed product                 "
"626" "ostta01g06190" "unnamed product                 "
"627" "ostta01g06200" "unnamed product                 "
"628" "ostta01g06210" "Nicotinamide N-methyltransferase-like                 "
"629" "ostta01g06220" "Nuclear pore protein 84/107               "
"630" "ostta01g06230" "unnamed product                 "
"631" "ostta01g06240" "Ankyrin repeat                 "
"632" "ostta01g06250" "RmlC-like jelly roll fold               "
"633" "ostta01g06260" "Acyl-CoA N-acyltransferase                 "
"634" "ostta01g06270" "Ham1-like protein                 "
"635" "ostta01g06280" "unnamed product                 "
"636" "ostta01g06290" "Riboflavin kinase domain, bacterial/eukaryotic               "
"637" "ostta01g06300" "Thioredoxin-like fold n/a  Thioredoxin-like fold             "
"638" "ostta01g06310" "Signal transduction response regulator, receiver domain             "
"639" "ostta01g06320" "Ankyrin repeat                 "
