Gene ID	GO	KO	PFAM
ME1114617C07634	ME1114617C07634	<a href="http://amigo.geneontology.org/amigo/term/GO:0003910" target="_blank">DNA ligase (ATP) activity (GO:0003910)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006310" target="_blank">DNA recombination (GO:0006310)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04679" target="_blank">PF04679</a>
ME000366S06241	ME000366S06241	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003887" target="_blank">DNA-directed DNA polymerase activity (GO:0003887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02349" target="_blank">K02349</a>	<a href="http://pfam.xfam.org/family/PF00476" target="_blank">PF00476</a> <a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a>
ME000366S06243	ME000366S06243	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10664" target="_blank">K10664</a>	<a href="http://pfam.xfam.org/family/PF13639" target="_blank">PF13639</a> <a href="http://pfam.xfam.org/family/PF12678" target="_blank">PF12678</a> <a href="http://pfam.xfam.org/family/PF17123" target="_blank">PF17123</a> <a href="http://pfam.xfam.org/family/PF13923" target="_blank">PF13923</a> <a href="http://pfam.xfam.org/family/PF00097" target="_blank">PF00097</a>
ME000366S06244	ME000366S06244	<a href="http://amigo.geneontology.org/amigo/term/GO:0019211" target="_blank">phosphatase activator activity (GO:0019211)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17605" target="_blank">K17605</a>	<a href="http://pfam.xfam.org/family/PF03095" target="_blank">PF03095</a>
ME000249S04213	ME000249S04213	<a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09060" target="_blank">K09060</a>	<a href="http://pfam.xfam.org/family/PF00170" target="_blank">PF00170</a> <a href="http://pfam.xfam.org/family/PF07716" target="_blank">PF07716</a>
ME000463S07793	ME000463S07793	<a href="http://amigo.geneontology.org/amigo/term/GO:0004144" target="_blank">diacylglycerol O-acyltransferase activity (GO:0004144)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045017" target="_blank">glycerolipid biosynthetic process (GO:0045017)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF06974" target="_blank">PF06974</a> <a href="http://pfam.xfam.org/family/PF03007" target="_blank">PF03007</a>
ME000463S07794	ME000463S07794	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02519" target="_blank">K02519</a>	<a href="http://pfam.xfam.org/family/PF00009" target="_blank">PF00009</a> <a href="http://pfam.xfam.org/family/PF11987" target="_blank">PF11987</a> <a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a> <a href="http://pfam.xfam.org/family/PF02421" target="_blank">PF02421</a>
ME000463S07797	ME000463S07797	<a href="http://amigo.geneontology.org/amigo/term/GO:0004325" target="_blank">ferrochelatase activity (GO:0004325)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006783" target="_blank">heme biosynthetic process (GO:0006783)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01772" target="_blank">K01772</a>	<a href="http://pfam.xfam.org/family/PF00762" target="_blank">PF00762</a>
ME000463S07799	ME000463S07799	<a href="http://amigo.geneontology.org/amigo/term/GO:0051259" target="_blank">protein complex oligomerization (GO:0051259)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04082" target="_blank">K04082</a>	<a href="http://pfam.xfam.org/family/PF07743" target="_blank">PF07743</a>
ME000463S07803	ME000463S07803	<a href="http://amigo.geneontology.org/amigo/term/GO:0016760" target="_blank">cellulose synthase (UDP-forming) activity (GO:0016760)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030244" target="_blank">cellulose biosynthetic process (GO:0030244)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03552" target="_blank">PF03552</a> <a href="http://pfam.xfam.org/family/PF00535" target="_blank">PF00535</a>
ME000463S07804	ME000463S07804	<a href="http://amigo.geneontology.org/amigo/term/GO:0006415" target="_blank">translational termination (GO:0006415)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003747" target="_blank">translation release factor activity (GO:0003747)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02835" target="_blank">K02835</a>	<a href="http://pfam.xfam.org/family/PF03462" target="_blank">PF03462</a> <a href="http://pfam.xfam.org/family/PF00472" target="_blank">PF00472</a>
ME1130557C07678	ME1130557C07678	<a href="http://amigo.geneontology.org/amigo/term/GO:0008234" target="_blank">cysteine-type peptidase activity (GO:0008234)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00112" target="_blank">PF00112</a>
ME000157S01526	ME000157S01526	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01593" target="_blank">PF01593</a> <a href="http://pfam.xfam.org/family/PF13450" target="_blank">PF13450</a> <a href="http://pfam.xfam.org/family/PF01946" target="_blank">PF01946</a> <a href="http://pfam.xfam.org/family/PF00890" target="_blank">PF00890</a>
ME000157S01529	ME000157S01529	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00082" target="_blank">PF00082</a> <a href="http://pfam.xfam.org/family/PF17766" target="_blank">PF17766</a> <a href="http://pfam.xfam.org/family/PF02225" target="_blank">PF02225</a>
ME000157S01530	ME000157S01530	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000157S01531	ME000157S01531	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02373" target="_blank">PF02373</a> <a href="http://pfam.xfam.org/family/PF02375" target="_blank">PF02375</a> <a href="http://pfam.xfam.org/family/PF02928" target="_blank">PF02928</a> <a href="http://pfam.xfam.org/family/PF05965" target="_blank">PF05965</a> <a href="http://pfam.xfam.org/family/PF05964" target="_blank">PF05964</a>
ME000157S01534	ME000157S01534	<a href="http://amigo.geneontology.org/amigo/term/GO:0016714" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00500" target="_blank">K00500</a>	<a href="http://pfam.xfam.org/family/PF00351" target="_blank">PF00351</a>
ME000157S01537	ME000157S01537	<a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13520" target="_blank">PF13520</a> <a href="http://pfam.xfam.org/family/PF00324" target="_blank">PF00324</a>
ME000157S01538	ME000157S01538	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00082" target="_blank">PF00082</a> <a href="http://pfam.xfam.org/family/PF17766" target="_blank">PF17766</a> <a href="http://pfam.xfam.org/family/PF02225" target="_blank">PF02225</a>
ME000157S01546	ME000157S01546	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000157S01547	ME000157S01547	<a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a>
ME000157S01548	ME000157S01548	<a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00082" target="_blank">PF00082</a> <a href="http://pfam.xfam.org/family/PF17766" target="_blank">PF17766</a> <a href="http://pfam.xfam.org/family/PF02225" target="_blank">PF02225</a> <a href="http://pfam.xfam.org/family/PF05922" target="_blank">PF05922</a>
ME000157S01549	ME000157S01549	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a>
ME000157S01552	ME000157S01552	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07877" target="_blank">K07877</a>	<a href="http://pfam.xfam.org/family/PF00071" target="_blank">PF00071</a>
ME000157S01554	ME000157S01554	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14947" target="_blank">K14947</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
ME000157S01557	ME000157S01557	<a href="http://amigo.geneontology.org/amigo/term/GO:0031083" target="_blank">BLOC-1 complex (GO:0031083)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20185" target="_blank">K20185</a>	<a href="http://pfam.xfam.org/family/PF06320" target="_blank">PF06320</a>
ME000157S01558	ME000157S01558	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01408" target="_blank">PF01408</a> <a href="http://pfam.xfam.org/family/PF02894" target="_blank">PF02894</a>
ME000157S01563	ME000157S01563	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15305" target="_blank">K15305</a>	<a href="http://pfam.xfam.org/family/PF12755" target="_blank">PF12755</a> <a href="http://pfam.xfam.org/family/PF11916" target="_blank">PF11916</a> <a href="http://pfam.xfam.org/family/PF02985" target="_blank">PF02985</a>
ME000157S01564	ME000157S01564	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03242" target="_blank">K03242</a>	<a href="http://pfam.xfam.org/family/PF09173" target="_blank">PF09173</a> <a href="http://pfam.xfam.org/family/PF00009" target="_blank">PF00009</a> <a href="http://pfam.xfam.org/family/PF03144" target="_blank">PF03144</a>
ME000157S01565	ME000157S01565	<a href="http://amigo.geneontology.org/amigo/term/GO:0016757" target="_blank">transferase activity, transferring glycosyl groups (GO:0016757)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04577" target="_blank">PF04577</a>
ME000157S01566	ME000157S01566	<a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">translation initiation factor activity (GO:0003743)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF06273" target="_blank">PF06273</a>
ME000157S01574	ME000157S01574	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00439" target="_blank">PF00439</a>
ME000157S01577	ME000157S01577	<a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006388" target="_blank">tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10669" target="_blank">K10669</a>	<a href="http://pfam.xfam.org/family/PF01885" target="_blank">PF01885</a>
ME000896S10103	ME000896S10103	<a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">translation initiation factor activity (GO:0003743)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">translational initiation (GO:0006413)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02520" target="_blank">K02520</a>	<a href="http://pfam.xfam.org/family/PF05198" target="_blank">PF05198</a>
