Gene ID	GO	KO
kfl00002_0140	kfl00002_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016597" target="_blank">amino acid binding (GO:0016597)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00002_0150	kfl00002_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0007205" target="_blank">protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004143" target="_blank">diacylglycerol kinase activity (GO:0004143)</a>	
kfl00002_0160	kfl00002_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00002_0170	kfl00002_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00002_0180	kfl00002_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016817" target="_blank">hydrolase activity, acting on acid anhydrides (GO:0016817)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17675" target="_blank">K17675</a>
kfl00002_0200	kfl00002_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007264" target="_blank">small GTPase mediated signal transduction (GO:0007264)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07962" target="_blank">K07962</a>
kfl00002_0210	kfl00002_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0006535" target="_blank">cysteine biosynthetic process from serine (GO:0006535)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004124" target="_blank">cysteine synthase activity (GO:0004124)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01738" target="_blank">K01738</a>
kfl00002_0220	kfl00002_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
kfl00002_0230	kfl00002_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a>	
kfl00002_0240	kfl00002_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04554" target="_blank">K04554</a>
kfl00002_0250	kfl00002_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00002_0270	kfl00002_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00002_0280	kfl00002_0280	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
kfl00002_0300	kfl00002_0300	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21198" target="_blank">K21198</a>
kfl00002_0310	kfl00002_0310	<a href="http://amigo.geneontology.org/amigo/term/GO:0030833" target="_blank">regulation of actin filament polymerization (GO:0030833)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005856" target="_blank">cytoskeleton (GO:0005856)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003779" target="_blank">actin binding (GO:0003779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05757" target="_blank">K05757</a>
kfl00002_0320	kfl00002_0320	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22048" target="_blank">K22048</a>
kfl00002_0330	kfl00002_0330	<a href="http://amigo.geneontology.org/amigo/term/GO:0044237" target="_blank">cellular metabolic process (GO:0044237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00002_0350	kfl00002_0350	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006013" target="_blank">mannose metabolic process (GO:0006013)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004559" target="_blank">alpha-mannosidase activity (GO:0004559)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030246" target="_blank">carbohydrate binding (GO:0030246)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043169" target="_blank">cation binding (GO:0043169)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015923" target="_blank">mannosidase activity (GO:0015923)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01231" target="_blank">K01231</a>
kfl00002_0380	kfl00002_0380	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15436" target="_blank">K15436</a>
kfl00002_0390	kfl00002_0390	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	
kfl00002_0420	kfl00002_0420	<a href="http://amigo.geneontology.org/amigo/term/GO:0030163" target="_blank">protein catabolic process (GO:0030163)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03065" target="_blank">K03065</a>
kfl00002_0430	kfl00002_0430	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007264" target="_blank">small GTPase mediated signal transduction (GO:0007264)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07952" target="_blank">K07952</a>
kfl00002_0440	kfl00002_0440	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00002_0460	kfl00002_0460	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016272" target="_blank">prefoldin complex (GO:0016272)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>	
kfl00002_0470	kfl00002_0470	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00002_0480	kfl00002_0480	<a href="http://amigo.geneontology.org/amigo/term/GO:0046854" target="_blank">phosphatidylinositol phosphorylation (GO:0046854)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10047" target="_blank">K10047</a>
kfl00002_0520	kfl00002_0520	<a href="http://amigo.geneontology.org/amigo/term/GO:0016070" target="_blank">RNA metabolic process (GO:0016070)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00002_0530	kfl00002_0530	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006950" target="_blank">response to stress (GO:0006950)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09487" target="_blank">K09487</a>
kfl00002_0590	kfl00002_0590	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006352" target="_blank">DNA-templated transcription, initiation (GO:0006352)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005507" target="_blank">copper ion binding (GO:0005507)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00002_0600	kfl00002_0600	<a href="http://amigo.geneontology.org/amigo/term/GO:0005543" target="_blank">phospholipid binding (GO:0005543)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00002_0620	kfl00002_0620	<a href="http://amigo.geneontology.org/amigo/term/GO:0006633" target="_blank">fatty acid biosynthetic process (GO:0006633)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14423" target="_blank">K14423</a>
kfl00002_0630	kfl00002_0630	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00002_0650	kfl00002_0650	<a href="http://amigo.geneontology.org/amigo/term/GO:0015996" target="_blank">chlorophyll catabolic process (GO:0015996)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0047746" target="_blank">chlorophyllase activity (GO:0047746)</a>	
kfl00002_0660	kfl00002_0660	<a href="http://amigo.geneontology.org/amigo/term/GO:0046677" target="_blank">response to antibiotic (GO:0046677)</a>	
kfl00002_0670	kfl00002_0670	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15283" target="_blank">K15283</a>
kfl00002_0680	kfl00002_0680	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030688" target="_blank">preribosome, small subunit precursor (GO:0030688)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14849" target="_blank">K14849</a>
kfl00002_0700	kfl00002_0700	<a href="http://amigo.geneontology.org/amigo/term/GO:0008380" target="_blank">RNA splicing (GO:0008380)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12662" target="_blank">K12662</a>
kfl00002_0710	kfl00002_0710	<a href="http://amigo.geneontology.org/amigo/term/GO:0003998" target="_blank">acylphosphatase activity (GO:0003998)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01512" target="_blank">K01512</a>
kfl00002_0720	kfl00002_0720	<a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06688" target="_blank">K06688</a>
kfl00002_0730	kfl00002_0730	<a href="http://amigo.geneontology.org/amigo/term/GO:0042318" target="_blank">penicillin biosynthetic process (GO:0042318)</a>	
kfl00002_0740	kfl00002_0740	<a href="http://amigo.geneontology.org/amigo/term/GO:0006464" target="_blank">cellular protein modification process (GO:0006464)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
