Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre01.g039250.t1.1	Cytosolic 80S ribosomal protein S2; Cytosolic 40S small ribosomal subunit protein S2
Cre01.g039250.t2.1	Cytosolic 80S ribosomal protein S2; Cytosolic 40S small ribosomal subunit protein S2
Cre01.g039300.t1.2	Almost identical to T07933, polyadenylate-binding protein RB47 precursor, chloroplast-targeted [PMID: 9482869]; regulates translation of psbA; possibly controlled by RB60, a protein disulfide isomerase whose Volvox homolog is controlled by regA (regulator
Cre01.g039350.t1.2	Cytochrome P450 reductase, possibly CYP505B family.  In the cytochrome P450 CYP102 family.  Previously annotated as NCR2 for NADPH-cytochrome P450 reductase (NADPH-ferrihemoprotein reductase).  This is probably alternatively spliced
Cre01.g039500.t1.2	Conserved uncharacterized Flagellar Associated Protein, similar to Notchless; found in the flagellar proteome [PMID: 15998802].  Possible histone acetyltransferase or myosin-heavy-chain kinase
Cre01.g039550.t1.1	Conserved expressed protein; Arabidopsis homologue is in plastoglobuli (PMID: 16461379).  Previously annotated as PLAP1
Cre01.g039750.t1.2	Peptide deformylase (PDF) (Polypeptide deformylase); [EC:3.5.1.88] (DEFM); Arabidopsis ortholgue is directed to both chloroplast and mitochondria (PMID: 11060042); removes formyl-group from initiator fMet of organelle-encoded proteins
Cre01.g039850.t1.1	Carbohydrate/purine kinase, possible lysine decarboxylase.  Conserved in Green lineage.  Previously annotated as CGL48
Cre01.g039900.t1.2	Similarity to RNase Z, beta-lactamase family protein
Cre01.g040000.t1.2	Cytosolic 80S ribosomal protein L26; Cytosolic 60S large ribosomal subunit protein L26
Cre01.g040050.t1.1	Thiamine pyrophosphokinase.  Generates co-enzyme form of thiamine, thiamine pyrophosphate (TPP).  Not involved in the direct biosynthesis of thiamine.
Cre01.g040200.t1.2	WNK (With No Lysine) protein kinase homolog
Cre01.g040250.t1.2	DnaJ-like protein; might be targeted to chloroplast, as judged from homology to rice Q5QMD6 and to Arabidopsis O80799 predicted (weakly) by TargetP to be chloroplast-targeted; contains O-methyltransferase in N-terminus (pfam01596) (but not the higher plan
Cre01.g040450.t1.2	Histidine-Aspartic Acid Phosphotransferase 1; Intermediate in Histidine phosphorylation cascade; Contains H residue that accepts phosphate group from histidine kinase and transfers to a receiver protein.  Previously annotated HDPT1
Cre01.g041050.t1.1	Related to human SLC7A family of solute carriers, involved in cationic amino acid transport (arginine, lysine, ornithine); this is probably the gene mutated in the L-MSX resistant mutant msr1, mapped to a compatible position on LG I.  Probably mitochondri
Cre01.g041050.t2.1	Related to human SLC7A family of solute carriers, involved in cationic amino acid transport (arginine, lysine, ornithine); this is probably the gene mutated in the L-MSX resistant mutant msr1, mapped to a compatible position on LG I.  Probably mitochondri
Cre01.g042300.t1.1	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)
Cre01.g042750.t1.2	Aconitate hydratase (EC 4.2.1.3), mitochondrial; citrate hydro-lyase; aconitase
Cre01.g042800.t1.2	3,8-divinyl protochlorophyllide a 8-vinyl reductase, chloroplast precursor [PMID: 15849308]; predicted chloroplast transit peptide 1-58; [PMID: 15695432; PMID: 15849308]
Cre01.g043200.t1.2	Conserved expressed protein
Cre01.g043350.t1.2	Chlorophyllide a oxygenase; chlorophyll b synthase [GI:61742125; PMID: 15849308]; Predicted chloroplast transit peptide 1-29.  Previously annotated as CAO.  The cbn1 mutants are alleles at this locus [PMID: 10982457].
Cre01.g043650.t1.1	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Identified by Desai et al. as the locus for the outer arm dynein light chain, ODA8 (Chlamy meeting, 2010).  Previously annotated a MOT37
Cre01.g043750.t1.1	Similar to Bardet-Biedl syndrome 7
Cre01.g044100.t1.2	Beta-Amylase (alpha 1,4-glucan maltohydrolase; EC 3.2.1.2) hydrolyzes the alpha 1,4-glucosidic linkages of starch from the nonreducing ends.  Previously annotated as AMYB3
Cre01.g044800.t1.2	Pyruvate-formate lyase; may contain organelle targeting peptide; corresponds to GI:585666 (a C-terminal fragment), induced under phosphate deprivation; also known as formate acetyltransferase. Genbank AJ620191, GI:92084841; PMID: 16452484.  Characterized 
Cre01.g045000.t1.2	Similar to pathogenesis-related protein 1, extracellular
Cre01.g045350.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre01.g045550.t1.2	Triose-phosphate transporter.  Located in zones of contact between the inner and outer membrane of the chloroplast (By similarity). Belongs to the TPT transporter family. TPT (TC2.A.7.9.1) subfamily transporter.  Previously annotated as APE2
Cre01.g045600.t1.1	Speract/scavenger receptor cysteine-rich (SRCR) family protein, transmembrane glycoprotein.  Homolog of yeast ATG20 gene [PMID: 18670193]
Cre01.g045650.t1.2	Contains a Zn-finger domain with CXXCXGXG motif, also found in DnaJ co-chaperones; probably organelle-targeted
Cre01.g045700.t1.1	Haem-containing catalase-peroxidases, a bifunctional antioxidant enzyme that exhibit both catalase (EC:1.11.1.6) and peroxidase (EC:1.11.1.7) activity; functions as an oligomer; the primary structure of the subunit can be divided into two similar halves, 
Cre01.g047450.t1.1	Otubain cysteine protease.  Conserved expressed organelle-targeted protein.  Family is comprised of a group of predicted cysteine proteases, homologous to the Ovarian Tumour (OTU) gene in Drosophila, contains OTU-domain.
Cre01.g047550.t1.2	Hypothetical Conserved Protein. Similar to the RabH/Rab6 type of small GTPase, involved in intra-Golgi vesicle trafficking.  Previously annotated as RABH1
Cre01.g047700.t1.2	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905]. TPR domain involved in HSP90 interaction; cytosolic; similar to At2g15790 (AtCYP40, CYP40) and AT2G38730 (AtCYP22)
Cre01.g047750.t1.2	Cytosolic 80S ribosomal protein L18a; Cytosolic 60S large ribosomal subunit protein L18a
Cre01.g047800.t1.1	Glutaredoxin 6, CGFS type glutaredoxin, probably chloroplastic. GRX domain on C-terminal part. N-terminal part: no homology with proteins of known function but strong homology with synechocystis slr1035. PMID: 16328797
Cre01.g047950.t1.1	Small GTPase distantly related to Rab-like proteins from mammals. Found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP156.  Involved in cell-cycle control: see Qin et al. (2007) [PMID: 17276912].  See also Engel et al. (2009) [PM
Cre01.g048150.t1.2	Putative transcriptional co-activator.  High light-induced nuclease, staphylococcal nuclease homolog. Thermonuclease family. Induced under high light condition [PMID: 12000678]. A part of post-transcriptional gene silencing machinery [PMID: 11782532].  Si
Cre01.g048350.t1.2	Mannan endo-1,4-beta-mannosidase.  Green-lineage conserved protein related to carbohydrate hydrolase.  Previously annotated as CGL53
Cre01.g048750.t1.2	Pentatrichopeptide repeat protein
Cre01.g048950.t1.2	Uridine 5'- monophosphate synthase.  Bi-functional enzyme in the pyrimidine biosynthesis pathway consisting of orotate phosphoribosyltransferase and orotidine-5'-phosphate decarboxylase, that catalyzes orotate to oridine 5'-phosphate/monophosphate (OMP) t
Cre01.g049000.t1.2	4a-hydroxytetrahydrobiopterin dehydratase.  Green-lineage conserved expressed protein.  Previously annotated as CGL31
Cre01.g049500.t1.2	Cytochrome c oxidase subunit IIb (2b). In C. reinhardtii, subunit II is nuclear encoded with the N-terminal and C-terminal parts of the protein encoded by separate genes - N-terminus by COX2A and C-terminus by COX2B; respiratory complex IV; terminal oxida
Cre01.g049600.t1.2	Conserved expressed protein with similarity to ATP synthase, F0 complex, subunit I
Cre01.g050100.t1.2	Putative diaminopimelate (DAP) decarboxylase (EC:4.1.1.20); lysine synthesis enzyme (LysA); organelle (mitochondria) targeting predicted by Target-P; plastid location expected based on homology
Cre01.g050350.t1.1	Similar to rhomboid intramembrane proteases, involved in signaling, mitochondrial morphogenesis and apoptosis (PMID: 17114579)
Cre01.g050400.t1.2	Similar to mitochondrial import inner membrane translocase TIM22, belongs to theTIM17/TIM22/TIM23 family. Four TIM22-related proteins are present in Arabidopsis, three in Chlamydomonas
Cre01.g050400.t2.1	Similar to mitochondrial import inner membrane translocase TIM22, belongs to theTIM17/TIM22/TIM23 family. Four TIM22-related proteins are present in Arabidopsis, three in Chlamydomonas
Cre01.g050500.t1.1	Pentatrichopeptide repeat protein (contains 3 PPR repeats)
Cre01.g050850.t1.2	Serine/threonine protein phosphatase 1 Beta (PP1b); has a Kelch repeat at the N-terminus; found in the flagellar proteome [PMID: 15998802].  This is a calcineurin-like phosphoesterase.  Previously annotated as PKL1
Cre01.g050850.t2.1	Serine/threonine protein phosphatase 1 Beta (PP1b); has a Kelch repeat at the N-terminus; found in the flagellar proteome [PMID: 15998802].  This is a calcineurin-like phosphoesterase.  Previously annotated as PKL1
Cre01.g051050.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre01.g051250.t1.2	Outer dynein arm light chain 4.  Contains calcium-binding EF-hand.   Previously annotated as DLC4
Cre01.g051400.t1.2	Expressed Protein. Conserved protein similar to KDEL receptor involved in ER retention of lumenal proteins.
Cre01.g051400.t2.1	Expressed Protein. Conserved protein similar to KDEL receptor involved in ER retention of lumenal proteins.
Cre01.g051500.t1.2	Present in thylakoid proteome based on mass spectrometric peptide identification [PMID: 17078018]; described as reduced in the non-photosynthetic mutant cen [PMID: 8879236]; similarity to PSBQ is limited to transit peptide.  Previously annotated as ULP1 b
Cre01.g051550.t1.1	Contains a conserved C-terminal C2H2 Zn-finger domain; this particular helicase has been identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia.  Previously annotated as SSA9
Cre01.g051800.t1.1	Transaminase A; Target-P gives weak prediction of mitochondrial targeting
Cre01.g051900.t1.2	Rieske iron-sulfur protein of mitochondrial ubiquinol-cytochrome c reductase (complex III). GI:27525857 PMID: 12589438; PMID: 12589438; PMID: 15710684; homolog to yeast RIP1, human UQCRFS1/RISP, bovine subunit IX; (= UCR4 = UCR5).
Cre01.g051950.t1.2	Aspartic peptidase, pepsin (A1) family; similar to chloroplast nucleoid DNA binding protein (CND41) identified in tobacco (PMID: 10683432); its reported chloroplast localization is uncertain, and it usually shows a typical signal peptide; could be secrete
Cre01.g052050.t1.2	Ubiquinol-cytochrome C chaperone family protein [PMID: 15710684]; [= human QCRAF3 subunit], probably mitochondrial.  Previously annotated CBP3
Cre01.g052100.t1.2	Chloroplast ribosomal protein L18, imported to chloroplast; Chloroplast large ribosomal subunit protein L18
Cre01.g052150.t1.1	Flagellar protein with ankyrin repeats; found in the flagellar proteome, where it was designated FAP87 [PMID: 15998802]
Cre01.g052250.t1.2	Thioredoxin x, chloroplast precursor [PMID: 12753911]. Chloroplastic localization confirmed experimentally in Arabidopsis. TRXx could be involved in oxidative stress responses as it is the most efficient chloroplastic TRX for reduction of 2-cys Peroxiredo
Cre01.g052300.t1.1	E2F family transcription factor.  Putative function in G1/S and S/M.  Positive regulator that controls commitment and S/M size checkpoints. Mutations at this locus suppress the small-cell phenotype of mutants in the MAT3 gene encoding a retinoblastoma-lik
Cre01.g052350.t1.1	Putative mitochondrial ribosomal protein L20, imported to mitochondria
Cre01.g052400.t1.2	CPLD43, involved in covalent heme binding to cyt b6; Conserved in plant lineage and diatoms (organisms performing oxygenic photosynthesis). Localized to chloroplast. Member of the YGGT protein family. PMID: 17535914.  Previously annotated as CCB3
Cre01.g052950.t1.1	Homolog of SNM1 (SENSITIVE TO NITROGEN MUSTARD 1); phosphorylated Artemis associates with DNA-PKcs and Ku to cleave DNA hairpins at double-strand breaks; lacks the additional DNA ligase I domain found in some higher plant PSO2 proteins like Arabidopsis NP
Cre01.g053000.t1.2	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase
Cre01.g053150.t1.2	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase
Cre01.g053150.t2.1	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone-3-phosphate reductase
Cre01.g053300.t1.1	Converts agmatin to N-carbamoyl-putrescine; involved in agmatine pathway of polyamine (putrescine) biosynthesis; could be organelle-targeted
Cre01.g054150.t1.2	NADPH-dependent thioredoxin reductase C type (NTR/thioredoxin fusion); NTRC is a two domain protein containing an NADPH dependent thioredoxin reductase (N-terminal part) and a thioredoxin (C-terminal part). The protein was shown to be localized in chlorop
Cre01.g054250.t1.2	Cytochrome P450, CYP5 superfamily, CYP5A family.  Previously annotated as CYP743A1.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP743 family has best BLAST hits to 
Cre01.g055200.t1.2	Conserved expressed protein related to GIF3, GRF-interacting factor of A. thaliani
Cre01.g055420.t1.1	Ser/Thr specific protein phosphatase 2A ,regulatory subunit B (beta isoform); homolog in Drosophila it is involved in the circadian clock.  Contains WD domain and G-beta repeat.  Previously annotated as PP2A1 and PP2Ab.	Ser/Thr specific protein phosphatase 2A ,regulatory subunit B (beta isoform); homolog in Drosophila it is involved in the circadian clock.  Contains WD domain and G-beta repeat.  Previously annotated as PP2A1 and PP2Ab.
Cre01.g055432.t1.1	Protein of unknown function with mechanosensitive ion channel (MSC) like domain.  Previously annotated as MSCL4	Protein of unknown function with mechanosensitive ion channel (MSC) like domain.  Previously annotated as MSCL4
Cre01.g055453.t1.1	Acetolactate synthase, small subunit (EC 2.2.1.6); (acetohydroxy acid synthase, small subunit); precursor; expected plastidic by homology, although predicted as mitochondrial by Target-P.  Previously annotated as ALSS1	Acetolactate synthase, small subunit (EC 2.2.1.6); (acetohydroxy acid synthase, small subunit); precursor; expected plastidic by homology, although predicted as mitochondrial by Target-P.  Previously annotated as ALSS1
